latitude;longitude;category;type;name;acronym;url
50.4204934;4.4897821;MEDI;Hôpital;Grand Hôpital de Charleroi;Ghdc;https://www.ghdc.be/
50.477495;4.204887;MEDI;Hôpital;CHU Tivoli;/;https://chu-tivoli.be/
50.8342232;4.3472462;MEDI;Hôpital;Hôpital Saint-Pierre Bruxelles;???;https://www.stpierre-bru.be/
50.8522922;4.4518697;MEDI;Hôpital;Cliniques Universitaires Saint-Luc;CUSL;https://www.saintluc.be/fr
50.6736258;5.5482376;PRIV;Entreprise (<250 personnes);Apex Orthopédie sel;Apex Orthopédie ;https://apexorthopedie.be/
43.595269;3.079825;MEDI;Hôpital;Clinique du Dr STER ;STER;http://www.cliniques-ster.com/lamalou-les-bains/accueil/
50.8522922;4.4518697;MEDI;Hôpital;Cliniques Universitaires Saint Luc;CUSL;https://www.saintluc.be/
50.477495;4.204887;MEDI;Hôpital;CHU Tivoli;Tivoli;https://www.chu-tivoli.be/
50.4204934;4.4897821;MEDI;Hôpital;Grand hôpital de Charleroi;GHDC;https://www.ghdc.be/
48.8481141;2.3029716;PRIV;Entreprise (<250 personnes);Bone3D;/;http://www.bone3d.fr/
44.7846005;-0.631603;PRIV;Entreprise (<250 personnes);Poietis;/;https://www.poietis.com/
50.6072219;3.0372193;PRIV;Entreprise (<250 personnes);Lattice Medical;/;https://www.lattice-medical.com/
43.5526941;1.4537133;PRIV;Entreprise (<250 personnes);AnatomikModeling;/;https://www.anatomikmodeling.com/fr
48.837644;2.365013;MEDI;Hôpital;AP-HP (PRIM3D);PRIM3D;https://www.aphp.fr/
43.2908868;5.3939207;MEDI;Hôpital;AP-HM (Marseille);AP-HM;https://ap-hm.fr/
50.8525411;4.7340697;PRIV;Entreprise (?250 personnes);Materialise;/;https://www.materialise.com/en
50.5923296;5.5595569;PRIV;Entreprise (<250 personnes);CERHUM;/;https://cerhum.com/
50.6666526;4.625606;PRIV;Entreprise (<250 personnes);3D-Side;/;https://www.3d-side.com/
50.8791478;4.6764866;MEDI;Hôpital;UZ Leuven – 3D Core Facility;/;https://www.uzleuven.be/
51.023089;3.723135;MEDI;Hôpital;UZ Gent – 3D Lab;/;https://uzgent.be/
50.9854539;5.7884805;PRIV;Entreprise (<250 personnes);Xilloc;/;https://www.xilloc.com/
51.4392648;5.478633;PRIV;Entreprise (<250 personnes);3D Medical Models;/;https://www.3dmedicalmodels.nl/
52.0856973;5.178053;MEDI;Hôpital;UMC Utrecht – 3D Lab;/;https://umcutrecht.nl/
51.8227627;5.8622342;MEDI;Hôpital;Radboudumc – 3D Lab;/;https://www.radboudumc.nl/
53.2232991;6.5738651;MEDI;Hôpital;UMC Groningen – 3D Lab;/;https://www.umcg.nl/
50.6130981;3.0364478;MEDI;Hôpital;Centre hospitalier universitaire de Lille;CHU Lille;https://www.chu-lille.fr/
50.5069752;4.2654081;PRSC;Centre de recherche;CEntre de Ressources TEchnologiques en Chimie;Certech;https://www.certech.be/
50.4587129;3.9522476;PRSC;Université;Université de Mons;UMONS;https://web.umons.ac.be/
51.0471689;3.7282075;PRSC;Université;Universiteit Gent;UGent;https://www.ugent.be/
51.0235356;3.726631;MEDI;Hôpital universitaire;Universitair Ziekenhuis Gent;UZ Gent;https://uzgent.be/
50.8057594;3.2843834;PRSC;Université;VIVES Zuid vzw;/;https://www.vives.be/
50.6313271;3.0746827;PRSC;Université;Université de Lille;/;https://www.univ-lille.fr/
50.607523;3.133407;PRSC;Université;Centrale Lille;/;https://centralelille.fr/
50.605379;3.025115;ENAB;Réseau d’innovation / Collectivité;Eurasanté;/;eurasante.com
50.6092268;3.1408915;PRSC;Centre de recherche;Centre National de la Recherche Scientifique;CNRS;https://www.cnrs.fr/
50.797406;2.176279;PRIV;Entreprise (<250 personnes);3D Metal Print;3D-MP;https://www.3d-metalprint.com/
50.6018037;3.0434143;PRIV;Entreprise (<250 personnes);Prothexpert;/;https://www.prothexpert.com/
50.4434316;3.8664252;PRIV;Entreprise (<250 personnes);NK Dental;/;http://nkdental.be/
43.2920671;5.4017137;MEDI;Hôpital;AP-HM – Hôpital de la Timone (Pôle odontologie);AP-HM;http://ap-hm.fr/service/pole-odontologie-batiment-5-hopital-de-la-timone
43.2920671;5.4017137;MEDI;Hôpital;CHU Marseille – Service de prothèses dentaires 3D;/;https://ap-hm.fr/
50.4457358;3.9564333;PRSC;Centre de recherche;Gmake;/;https://web.umons.ac.be/gmec/gmake/
50.5344902;5.5851311;ENAB;Réseau d’innovation / Collectivité;CIHA ASBL / KapLab;/;https://www.kaplab.be/
41.4012153;2.1931628;ENAB;Réseau d’innovation / Collectivité;Fundació iSocial;/;https://isocial.cat/
47.702484;-3.419676;MEDI;Hôpital;REHAB-LAB Kerpape - CMRRF Kerpape;/;https://novap.fehap.fr/candidats/rehab-lab-lieu-unique-a-kerpape/
48.546269;-2.725775;ENAB;Réseau d’innovation / Collectivité;ALTYLAB - ALTYGO - Pôle Enfant;/;altylab@altygo.org
41.6220733;0.6292948;ENAB;Réseau d’innovation / Collectivité;ASPID Lleida - Fablab;/;https://aspid.cat/ca/ 
48.5450903;7.7651965;ENAB;Réseau d’innovation / Collectivité;Adèl'LAB;/;https://www.glaubitz.fr/ 
41.721166;1.837462;CITZ;Réseau d’innovation / Collectivité;Ampans REHAB-LAB - Ampans;/;https://ampans.cat
41.610326;1.143042;CITZ;Réseau d’innovation / Collectivité;Associació Alba;/;https://aalba.cat/
47.2634563;-2.2682715;MEDI;Hôpital;CMPR Côte d'Amour;/;https://kap-ouest.fr/centre-cote-damour/
48.750335;2.465014;PRSC;Centre de recherche;Centre de Recherche IRMA - Institut Robert Merle d'Aubigné;/;http://www.irma-valenton.fr/
41.366646;2.159556;CITZ;Réseau d’innovation / Collectivité;Crea 3D - Fundació ASPACE Catalunya;/;https://aspace.cat/es/ 
43.087093;6.117637;ENAB;Réseau d’innovation / Collectivité;Ergo Fabriq;/;https://www.leonberard.com/actualites/dernieres-actualites/fab-lab-hopital-leon-berard--ergo-fabriq
48.882518;2.278227;ENAB;Réseau d’innovation / Collectivité;Ergothérapie - Rehab lab Michel Arthuis;/;https://www.association-notre-dame.org/#/ 
41.55683;2.451549;CITZ;Réseau d’innovation / Collectivité;Fundacio Maresme;/;https://www.fundaciomaresme.cat/
41.1167842;1.2053436;CITZ;Réseau d’innovation / Collectivité;Fundació Onada;/;https://www.fundacioonada.org/
41.9650214;2.8273189;CITZ;Réseau d’innovation / Collectivité;Fundació Ramon Noguera;/;https://grupfrn.cat/
46.3427373;-0.4817177;ENAB;Réseau d’innovation / Collectivité;Lab' Tech Melioris;/;https://www.melioris-association.fr/
